File.Name,Date,Notes,Latitude,Longitude,Accuracy,Locality,Country,State,CommonNames,ScientificName,associatedTaxa,Families,Date_YYYYMMDD
n101a_n101-005.jpg,1/1/23,"52601635603 Here is a tiny <b>Orb-Weaver Spider</b> (<i>Araneus</i>, <i>Araneidae</i>) among cactus spines (and lichens!) in the garden this morning. I believe this is a juvenile of the species <i>Araneus andrewsi</i> spider with humps on its back and dark colors and bristly legs. I have a prior shot of its web, see <a href=""https://www.flickr.com/photos/treebeard/27790504388/"">this photo</a>. (San Marcos Pass, 1 January 2023) <p>After the driest start of any start of any year that I can recall, the month of December has been better. We got 4.25 inches yesterday and 17.8 inches of rain for the month -- and there's more on the way!",34.512904,-119.813278,16,San Marcos Pass,United States,California,Orb-Weaver Spider,Araneus andrewsi,,Araneidae,2023-01-01
n101b_n101-008.jpg,1/1/23,"52601532255 This is a group of beautiful <b>Frosted Marasmius</b> (<i>Marasmius plicatulus</i> or kin) mushrooms poking up through the fallen oak leaves in the woods today. This may actually be a related species of the mushroom because the cap isn't especially velvety or frosted as they sometimes are? The widely-spaced white gills are especially handsome. The stalks are tough and polished, but brittle - like thin glass tubing. If you have pierced ears, you can wear them! (San Marcos Pass, 1 January 2023)",34.513761,-119.813686,16,San Marcos Pass,United States,California,Frosted Marasmius,Marasmius plicatulus,,Marasmiaceae,2023-01-01
n101c_n101-025.jpg,1/1/23,"52600599232 This is a brand new <b>Earthstar</b> ""mushroom"" just coming up in the soggy woods today. I added scare quotes because these fungi are not at all fleshy. It is the <b>Hygroscopic Earthstar</b> (<i>Astraeus hygrometricus</i>). These fungi are built with an inner puffball or spore sack surrounded by an outer rind. The rind splits to make a star, and the inner sack opens to release spores. The rays of the outer rind open and close depending on the humidity. The inner puffball is ephemeral, but the outer rinds are tough and last for years. (San Marcos Pass, 1 January 2023)",34.513761,-119.813686,16,San Marcos Pass,United States,California,Hygroscopic Earthstar,Astraeus  hygrometricus,,Astraeaceae,2023-01-01
n102a_n102-009.jpg,1/2/23,"52603746859 I was looking under a piece of loose bark on a log in our woodpile today -- looking for slime molds or snails or whatever -- I found this tiny cricket! I believe it a <b>Chaparral Camel Cricket</b> (<i>Gammarotettix genitalis</i>, <i>Raphidophoridae</i>). This is small cricket, only about 3/16 inch long or less, not counting its antennae of course. (San Marcos Pass, 2 January 2023)",34.512904,-119.813278,16,San Marcos Pass,United States,California,Chaparral Camel Cricket,Gammarotettix genitalis,,Raphidophoridae,2023-01-02
n102b_n102-013.jpg,1/2/23,"52603886855 This is a <i>Woodlouse</i> (<i>Oniscidea</i>, <i>Isopoda</i>, <i>Crustacea</i>) that cannot roll up into a ball. I call these ""sow bugs"" as distinct from the ""pill bugs"" that can roll into an into a ball. I found it under some bark in a woodpile. There are many different kinds, so I'll leave it at that. (San Marcos Pass, 2 January 2023)",34.512904,-119.813278,16,San Marcos Pass,United States,California,woodlouse,Oniscidea,,,2023-01-02
n102c_n101-017.jpg,1/2/23,"52603676249 I'm pretty sure this is a transparent insect larva on a piece of oak bark in the soggy woods yesterday. Maybe it is the larva of a <b>fly</b> (<i>Diptera</i>)? It has an interesting ""mouth"". (San Marcos Pass, 1 January 2023)",34.512904,-119.813278,16,San Marcos Pass,United States,California,fly,Diptera,,,2023-01-02
n103a_n103-001.jpg,1/3/23,"52605851044 I found this interesting <b>spider</b> under a loose piece of oak bark in our woodpile this morning. Maybe this spider is genus <i>Kibramoa</i> or <i>Plectreurys</i> in the spider family <i>Plectreuridae</i>? This one played dead when I found it, it even let me arrange its legs with a stick without complaining. I covered it up again with the bark after I got my photos. (San Marcos Pass, 3 January 2023)",34.513275,-119.812924,16,San Marcos Pass,United States,California,spider,Kibramoa,,Plectreuridae,2023-01-03
n103b_n103-007.jpg,1/3/23,"52605589606 This is another <i>Woodlouse</i> (<i>Oniscidea</i>, <i>Isopoda</i>, <i>Crustacea</i>) that cannot roll up into a ball. It has remarkable eyes. I call these ""sow bugs"" as distinct from the ""pill bugs"" that can roll into an into a ball. I found it under some bark in a woodpile. There are many different kinds, so I'll leave it at that. (San Marcos Pass, 3 January 2023)",34.514707,-119.814298,16,San Marcos Pass,United States,California,Woodlouse,Oniscidea,,,2023-01-03
n103c_n102-002.jpg,1/3/23,"52606076163 This is another tiny <b>spider</b> under a piece of loose bark in our woodpile yesterday. (San Marcos Pass, 2 January 2023)",34.512904,-119.813278,16,San Marcos Pass,United States,California,spider,Araneae,,,2023-01-03
n104a_n104-005.jpg,1/4/23,"52607561146 This is a big black beetle trying to get away from me after I exposed its hiding place under a loose piece of oak bark in our woodpile yesterday. It might be a <b>Darkling Beetle</b> in the family <i>Tenebrionidae</i>, but it's smaller and faster than the larger Pinacate Beetles (genus <i>Coelocnemis</i> or <i>Eleodes</i>) that I sometimes find. Maybe it is the species <b>Live Oak Cluster Beetle</b> (<i>Cibdelis blaschkei</i>)? (San Marcos Pass, 4 January 2023)",34.512037,-119.816443,16,San Marcos Pass,United States,California,Live Oak Cluster Beetle,Cibdelis blaschkei,,Tenebrionidae,2023-01-04
